date,session_key,driver_number,gap_to_leader,meeting_key,interval
2025-10-05T12:05:10.288000+00:00,9896,27,7.682,1270,0.799
2025-10-05T12:05:10.314000+00:00,9896,1,1.173,1270,1.173
2025-10-05T12:05:10.717000+00:00,9896,23,12.622,1270,0.431
2025-10-05T12:05:10.731000+00:00,9896,30,8.135,1270,0.453
2025-10-05T12:05:10.989000+00:00,9896,4,1.842,1270,0.669
2025-10-05T12:05:11.157000+00:00,9896,43,8.537,1270,0.402
2025-10-05T12:05:11.865000+00:00,9896,81,2.726,1270,0.884
2025-10-05T12:05:11.958000+00:00,9896,1,1.151,1270,1.151
2025-10-05T12:05:12.531000+00:00,9896,18,9.908,1270,1.371
2025-10-05T12:05:12.658000+00:00,9896,4,,1270,0.691
2025-10-05T12:05:12.688000+00:00,9896,16,3.546,1270,0.82
2025-10-05T12:05:13.052000+00:00,9896,5,10.438,1270,0.53
2025-10-05T12:05:13.153000+00:00,9896,12,,1270,0.466
2025-10-05T12:05:13.641000+00:00,9896,22,11.027,1270,0.589
2025-10-05T12:05:13.670000+00:00,9896,81,2.848,1270,1.006
2025-10-05T12:05:13.925000+00:00,9896,44,4.779,1270,0.767
2025-10-05T12:05:14.033000+00:00,9896,31,11.428,1270,0.401
2025-10-05T12:05:14.398000+00:00,9896,16,3.568,1270,0.72
2025-10-05T12:05:14.453000+00:00,9896,55,11.845,1270,0.417
2025-10-05T12:05:14.551000+00:00,9896,1,1.043,1270,1.043
2025-10-05T12:05:14.770000+00:00,9896,6,5.632,1270,0.853
2025-10-05T12:05:14.789000+00:00,9896,10,12.19,1270,0.345
2025-10-05T12:05:14.811000+00:00,9896,12,4.018,1270,0.45
2025-10-05T12:05:15.247000+00:00,9896,23,12.646,1270,0.456
2025-10-05T12:05:15.253000+00:00,9896,4,1.738,1270,0.695
2025-10-05T12:05:15.494000+00:00,9896,14,6.357,1270,0.725
2025-10-05T12:05:15.633000+00:00,9896,44,4.776,1270,0.758
2025-10-05T12:05:16.032000+00:00,9896,87,6.888,1270,0.531
2025-10-05T12:05:16.295000+00:00,9896,63,0.0,1270,0.0
2025-10-05T12:05:16.386000+00:00,9896,1,0.992,1270,0.992
2025-10-05T12:05:16.474000+00:00,9896,6,5.643,1270,0.867
2025-10-05T12:05:16.522000+00:00,9896,81,3.026,1270,1.288
2025-10-05T12:05:16.797000+00:00,9896,27,7.667,1270,0.779
2025-10-05T12:05:17.069000+00:00,9896,4,1.678,1270,0.686
2025-10-05T12:05:17.098000+00:00,9896,16,3.582,1270,0.556
2025-10-05T12:05:17.251000+00:00,9896,1,0.982,1270,0.982
2025-10-05T12:05:17.298000+00:00,9896,14,6.381,1270,0.738
2025-10-05T12:05:17.418000+00:00,9896,30,8.255,1270,0.588
2025-10-05T12:05:17.485000+00:00,9896,12,3.97,1270,0.388
2025-10-05T12:05:17.732000+00:00,9896,87,6.879,1270,0.498
